64	C. 정부지원	창업중심대학 2027	사업화 평균 5천·최대 1억 + 대학 프로그램. 업력 7년 이내. 청창사·초창패와 같은 창업사업화군이라 동일연도 하나만 — 세 번째 창(757개사)	2027-03 (2026: 3/3~3/23)	⏳ 대기	청창사·초창패 결과 따라 전환	2027상반기_전수목록 §1
65	C. 정부지원	AI 통합 바우처(클라우드) 2027	일반 1,000~1,550만 · 자부담 20% · 만 39세 이하 가점 1점. 서버·SaaS 고정비 직격	2027-04 초 마감	⏳ 대기	이용계획서(AWS·노션·피그마 실사용 정량화) 12월까지 초안	송파구 지원금 조사 §3
66	C. 정부지원	K-비대면 서비스 바우처	최대 400만 · 자부담 30% · 선착순. 협업툴 라이선스	수시(예산 소진)	⏳ 대기	공고 뜨면 즉시	송파구 지원금 조사 §3
67	C. 정부지원	송파 청년창업 도전프로젝트	최대 2,000만 무상. 만 39세·송파 활동·ICT/플랫폼 — 요건 정확히 일치. 지자체라 중앙부처 사업과 병행 가능	연말 공고 → 2027-03 접수	⏳ 대기	송파구청 경제진흥과 02-2147-4909 · 사업장 이전 완료가 선행	송파구 지원금 조사 §2.1
68	C. 정부지원	송파ICT청년창업지원센터 입주	가락동 IT벤처타워(중대로 135). 공간 월 4~6만 + 사업화 지원금 + 멘토링. 만 39세·창업 3년·ICT/AI	2026-11 중순~12 초 (수시 추가모집 있음)	⏳ 대기	센터 02-2142-1950 · 공지 알림	송파구 지원금 조사 §2.1
69	C. 정부지원	서울시 창업기업자금 (중진공 대안)	융자 1억 이내 · 서울신보 보증 · 이차보전 실부담 2.59~3.79% · 수시. 25번과 택1	수시	⏳ 대기	서울신보 1577-6119 예약(이전 직후) · 25번과 비교표	서울시 중소기업육성자금 2026
70	C. 정부지원	서울창업허브 입주	사업화금 1,000~2,000만 + 공간(㎡당 3,640원, 연차 할인). 창업 7년 이내 서울 소재	수시(공덕·성수 등)	⏳ 대기	SBA 스타트업플러스 알림	송파구 지원금 조사 §2.2
71	C. 정부지원	SBA×신보/기보 혁신스타트업 보증	서울 소재 스타트업 우대 보증. 융자 레버리지	상반기 별도 · 하반기 7월	⏳ 대기	공고 확인	2027상반기_전수목록 §1
72	C. 정부지원	클라우드·AI 크레딧 3종	MS Founders Hub $5K(누구나) · AWS Activate $1K(웹사이트) · Google Cloud $2K~. 비용 삭감 = 실질 생활비 방어	즉시	⏳ 대기	이번 주 신청 3건	2027상반기_전수목록 §2
73	C. 정부지원	올해의 K-스타트업 2027 (舊 도전!)	우승 5억 · 본선 진출 시 15개 후속 사업 연계. 공공데이터 리그	2027-03 말 공고 → 8월 예선	⏳ 대기	공공데이터 활용 각도로 예선 리그 선택	2027상반기_전수목록 §1
74	C. 정부지원	공공데이터·AI 활용 창업경진대회	지자체·부처별 100만~400만 상금 + 후속. 우리 = 교육 공공데이터 활용 교과서. 가점 자산	2027-04~06	⏳ 대기	data.go.kr 경진대회 목록 감시	2027상반기_전수목록 §1
75	C. 정부지원	IP나래 프로그램	IP 컨설팅 100일 + 특허출원 1건(정부 1,500만 이내). 창업 7년 이내	1차 2027-02~03 · 2차 05~06	⏳ 대기	RIPC 서울 공고	2027상반기_전수목록 §1
76	C. 정부지원	소진공 청년고용연계·일반경영안정자금	융자 최대 7천만 · 기준금리 연동 · 5년(거치 2). 문턱 가장 낮음. 융자는 하나만	수시	⏸️ 보류	25·69번 택1 후 남는 경우만	2027상반기_전수목록 §2
77	C. 정부지원	청년일자리도약장려금 + 두루누리 (채용 시)	청년 1인당 최대 1,200만(1년차 월 60만 + 2년차 480만) · 청년창업기업은 1인 사업장도 가능. 두루누리는 국민연금·고용보험 80% 36개월. 🔴 배우자·직계존비속 채용은 장려금 제외	채용 결정 시	⏸️ 보류	고용24 참여 신청은 채용 전에	2027상반기_전수목록 §3
